
Fecha Local,Fecha UTC,Direcci�n del Viento (grados),Direcci�n de r�faga (grados),Rapidez de viento (km/h),Rapidez de r�faga (km/h),Temperatura del Aire (�C),Humedad relativa (%),Presi�n Atmosf�rica (hpa),Precipitaci�n (mm),Radiaci�n Solar (W/m�),
2022-11-28 02:40:00,2022-11-28 08:40:00,346.0,333.0,5.5,6.8,13,99,780,0,0,
2022-11-28 02:30:00,2022-11-28 08:30:00,355.0,14.0,4.5,6.2,13.2,96,780,0,0,
2022-11-28 02:20:00,2022-11-28 08:20:00,295.0,290.0,5.1,6.8,13.2,92,780.1,0,0,
2022-11-28 02:10:00,2022-11-28 08:10:00,263.0,253.0,5.7,7.9,13.2,92,780.1,0,0,
2022-11-28 02:00:00,2022-11-28 08:00:00,276.0,274.0,5.5,9.7,13.3,92,780.2,0,0,
2022-11-28 01:50:00,2022-11-28 07:50:00,261.0,261.0,4.8,6.2,13.6,91,780.3,0,0,
2022-11-28 01:40:00,2022-11-28 07:40:00,255.0,252.0,3.1,4.5,13.7,90,780.4,0,0,
2022-11-28 01:30:00,2022-11-28 07:30:00,256.0,256.0,6.2,9.1,13.7,89,780.5,0,0,
2022-11-28 01:20:00,2022-11-28 07:20:00,270.0,249.0,4.3,6.2,13.8,90,780.5,0,0,
2022-11-28 01:10:00,2022-11-28 07:10:00,268.0,258.0,4.3,6.8,14,88,780.6,0,0,
2022-11-28 01:00:00,2022-11-28 07:00:00,261.0,250.0,4.8,9.1,14.1,90,780.6,0,0,
2022-11-28 00:50:00,2022-11-28 06:50:00,272.0,261.0,3.4,5.6,14.3,91,780.6,0,0,
2022-11-28 00:40:00,2022-11-28 06:40:00,264.0,261.0,3.5,7.9,14.5,93,780.6,0,0,
2022-11-28 00:30:00,2022-11-28 06:30:00,274.0,270.0,0,0,14.6,92,780.7,0,0,
2022-11-28 00:20:00,2022-11-28 06:20:00,281.0,270.0,2.3,4.5,14.8,92,780.7,0,0,
2022-11-28 00:10:00,2022-11-28 06:10:00,260.0,301.0,4.5,7.4,14.9,93,780.8,0,0,
2022-11-28 00:00:00,2022-11-28 06:00:00,258.0,249.0,4.1,8.5,15.1,94,781,0,0,
2022-11-27 23:50:00,2022-11-28 05:50:00,246.0,238.0,2.9,4.5,15.2,94,781,0,0,
2022-11-27 23:40:00,2022-11-28 05:40:00,249.0,233.0,1.9,4.5,15.1,96,781.1,0,0,
2022-11-27 23:30:00,2022-11-28 05:30:00,297.0,215.0,0,0,15.2,97,781.1,0,0,
2022-11-27 23:20:00,2022-11-28 05:20:00,225.0,215.0,2.9,5.6,15.4,97,781.1,0,0,
2022-11-27 23:10:00,2022-11-28 05:10:00,190.0,213.0,2.6,6.8,15.3,98,781.1,0,0,
2022-11-27 23:00:00,2022-11-28 05:00:00,222.0,227.0,5.6,9.1,15.4,95,781.1,0,0,
2022-11-27 22:50:00,2022-11-28 04:50:00,228.0,229.0,6.5,10.2,15.4,95,781.1,0,0,
2022-11-27 22:40:00,2022-11-28 04:40:00,225.0,226.0,6.3,8.5,15.5,93,781.1,0,0,
2022-11-27 22:30:00,2022-11-28 04:30:00,243.0,250.0,6.5,7.9,15.4,93,781.2,0,0,
2022-11-27 22:20:00,2022-11-28 04:20:00,250.0,240.0,4.4,8.5,15.3,96,781.3,0,0,
2022-11-27 22:10:00,2022-11-28 04:10:00,294.0,301.0,5,7.9,15.4,95,781.2,0,0,
2022-11-27 22:00:00,2022-11-28 04:00:00,295.0,296.0,4.6,9.1,15.5,94,781.1,0,0,
2022-11-27 21:50:00,2022-11-28 03:50:00,337.0,318.0,1.7,2.8,15.6,93,781,0,0,
2022-11-27 21:40:00,2022-11-28 03:40:00,329.0,328.0,4.9,6.8,15.5,94,781,0,0,
2022-11-27 21:30:00,2022-11-28 03:30:00,339.0,337.0,6.2,10.2,15.5,94,781,0,0,
2022-11-27 21:20:00,2022-11-28 03:20:00,330.0,314.0,7.3,10.2,15.6,95,780.9,0,0,
2022-11-27 21:10:00,2022-11-28 03:10:00,328.0,330.0,7.5,10.2,15.7,95,780.8,0,0,
2022-11-27 21:00:00,2022-11-28 03:00:00,296.0,315.0,5.7,7.9,15.7,94,780.8,0,0,
2022-11-27 20:50:00,2022-11-28 02:50:00,280.0,295.0,4.9,7.4,15.9,92,780.7,0,0,
2022-11-27 20:40:00,2022-11-28 02:40:00,302.0,292.0,6,7.9,16,92,780.6,0,0,
2022-11-27 20:30:00,2022-11-28 02:30:00,277.0,291.0,6.6,10.8,16.1,94,780.6,0,0,
2022-11-27 20:20:00,2022-11-28 02:20:00,248.0,254.0,4.8,9.7,16.2,93,780.4,0,0,
2022-11-27 20:10:00,2022-11-28 02:10:00,212.0,171.0,0,0,16.3,94,780.3,0,0,
2022-11-27 20:00:00,2022-11-28 02:00:00,130.0,171.0,3.7,5.6,16.2,93,780.2,0,0,
2022-11-27 19:50:00,2022-11-28 01:50:00,190.0,189.0,8.3,10.8,16.1,96,780.2,0,0,
2022-11-27 19:40:00,2022-11-28 01:40:00,187.0,198.0,6.9,10.2,16.4,94,780.1,0,0,
2022-11-27 19:30:00,2022-11-28 01:30:00,229.0,224.0,7.1,9.7,16.4,89,780.2,0,0,
2022-11-27 19:20:00,2022-11-28 01:20:00,248.0,248.0,7.7,10.2,16.5,88,780.1,0,0,
